NU_ANO_CENSO;NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;TP_DEPENDENCIA;QT_MAT_BAS;QT_MAT_INF;QT_MAT_INF_CRE;QT_MAT_INF_PRE;QT_MAT_FUND;QT_MAT_FUND_AI;QT_MAT_FUND_AF
2015;Cajazeiras;2503704;EMEIEF DR PAULO PIRES FERREIRA;3;0;0;0;0;0;0;0
2015;Cajazeiras;2503704;EMEIEF JOAO BATISTA DE ALBUQUERQUE;3;0;0;0;0;0;0;0
2015;Cajazeiras;2503704;EMEIEF JOAO FRANCISCO DE SOUZA;3;23;7;0;7;16;16;0
2015;Cajazeiras;2503704;EMEIEF JOSE COSMO DE ABREU;3;18;5;0;5;13;13;0
2015;Cajazeiras;2503704;EMEIEF JOSE LEITE ROLIM;3;263;46;0;46;202;202;0
2015;Cajazeiras;2503704;EMEIEF JOSE MARTINS DE OLIVEIRA;3;229;27;0;27;202;128;74
2015;Cajazeiras;2503704;EMEIEF JOSE TEMOTEO DE CARVALHO;3;0;0;0;0;0;0;0
2015;Cajazeiras;2503704;EMEIEF LUIZ CARTAXO ROLIM;3;259;31;0;31;201;80;121
2015;Cajazeiras;2503704;EMEIEF MANOEL GONCALVES DA SILVA;3;199;26;0;26;173;87;86
2015;Cajazeiras;2503704;EMEIEF MANOEL PEREIRA DA COSTA;3;0;0;0;0;0;0;0
2015;Cajazeiras;2503704;EMEIEF MATIAS DUARTE ROLIM;3;252;39;0;39;213;132;81
2015;Cajazeiras;2503704;EMEIEF CRISPIM COELHO;3;406;76;0;76;190;190;0
2015;Cajazeiras;2503704;EMEIEF VITAL ALVES DE FREITAS;3;20;3;0;3;17;17;0
2015;Cajazeiras;2503704;EMEIEF JOSE GUEDES ROLIM;3;0;0;0;0;0;0;0
2015;Cajazeiras;2503704;EMEIEF REGINA VIEIRA DA COSTA;3;0;0;0;0;0;0;0
2015;Cajazeiras;2503704;EMEIEF ELIZA BEZERRA LEANDRO;3;0;0;0;0;0;0;0
